,t_set,f_occ,t_i,V_g,t_e,leave,leave_fwb,t_set_default,f_occ_pred,t_e_air,hhv,gamma_s_deg,h_s_deg,theta_z_deg,I_th,I_bh,t_e_we
2022-11-02 00:15:00,12.0,0.0,19.505,0.0,13.688,1.0,1,12.0,0,14.055453865387312,11.597690066666669,-158.11071872449136,0.0,143.11631489809332,0.0,0.0,12.855337500000005
2022-11-02 00:30:00,12.0,0.0,19.471,0.0,13.568,1.0,1,12.0,0,14.001863717845092,11.597690066666669,-152.3821151937662,0.0,142.12311457916465,0.0,0.0,12.791650000000004
2022-11-02 00:45:00,12.0,0.0,19.47,0.0,13.691,1.0,1,12.0,0,13.905038390019827,11.597690066666669,-146.89816505900663,0.0,140.9236141892761,0.0,0.0,12.667287500000016
2022-11-02 01:00:00,12.0,0.0,19.471,0.0,13.813,1.0,1,12.0,0,13.808080013261712,11.597690066666669,-141.67591657983812,0.0,139.53785826137204,0.0,0.0,12.542925000000023
2022-11-02 01:15:00,12.0,0.0,19.471,0.0,13.81,1.0,1,12.0,0,13.711137140573776,11.597690066666669,-136.72012709186276,0.0,137.98625628187347,0.0,0.0,12.418562500000036
2022-11-02 01:30:00,12.0,0.0,19.471,0.0,13.688,1.0,1,12.0,0,13.614168871821132,11.597690066666669,-132.02584250145011,0.0,136.2887173416308,0.0,0.0,12.294200000000046
2022-11-02 01:45:00,12.0,0.0,19.471,0.0,13.932,1.0,1,12.0,0,13.498268606229368,11.597690066666669,-127.58108686480624,0.0,134.4640682794275,0.0,0.0,12.167005000000046
2022-11-02 02:00:00,12.0,0.0,19.437,0.0,13.934,1.0,1,12.0,0,13.381679335996148,11.597690066666669,-123.3692785786852,0.0,132.52972101087917,0.0,0.0,12.039810000000044
2022-11-02 02:15:00,12.0,0.0,19.437,0.0,13.936,1.0,1,12.0,0,13.264365340546837,11.597690066666669,-119.37119238363871,0.0,130.50153356427523,0.0,0.0,11.912615000000043
2022-11-02 02:30:00,12.0,0.0,19.437,0.0,13.688,1.0,1,12.0,0,13.146291466959685,11.597690066666669,-115.56643201616988,0.0,128.39380722481016,0.0,0.0,11.785420000000045
2022-11-02 02:45:00,12.0,0.0,19.436,0.0,13.568,1.0,1,12.0,0,13.076143510613786,11.597690066666669,-111.93446129166522,0.0,126.21937030653808,0.0,0.0,11.723015000000032
2022-11-02 03:00:00,12.0,0.0,19.437,0.0,13.444,1.0,1,12.0,0,13.005260236251331,11.597690066666669,-108.45527610136736,0.0,123.9897107452988,0.0,0.0,11.66061000000002
2022-11-02 03:15:00,12.0,0.0,19.437,0.0,13.446,1.0,1,12.0,0,12.933650358309428,11.597690066666669,-105.10980471599704,0.0,121.7151310510364,0.0,0.0,11.598205000000007
2022-11-02 03:30:00,12.0,0.0,19.437,0.0,13.324,1.0,1,12.0,0,12.861648900053336,11.597690066666669,-101.88011380999563,0.0,119.40490847768478,0.0,0.0,11.535799999999997
2022-11-02 03:45:00,12.0,0.0,19.403,0.0,13.201,1.0,1,12.0,0,12.766238537289594,11.597690066666669,-98.74948237115736,0.0,117.06745018813044,0.0,0.0,11.431457500000008
2022-11-02 04:00:00,12.0,0.0,19.403,0.0,12.957,1.0,1,12.0,0,12.670604363200663,11.597690066666669,-95.70239033699865,0.0,114.71043796632009,0.0,0.0,11.32711500000002
2022-11-02 04:15:00,12.0,0.0,19.369,0.0,12.957,1.0,1,12.0,0,12.574793889141372,11.597690066666669,-92.72445567788634,0.0,112.34096012540267,0.0,0.0,11.222772500000032
2022-11-02 04:30:00,12.0,0.0,19.369,0.0,12.712,1.0,1,12.0,0,12.478855158361482,11.597690066666669,-89.80234335959342,0.0,109.96563014716438,0.0,0.0,11.118430000000046
2022-11-02 04:45:00,12.0,0.0,19.368,0.0,12.593,1.0,1,12.0,0,12.4000076558314,11.597690066666669,-86.92366200598777,0.0,107.59069264868803,0.0,0.0,11.032217500000044
2022-11-02 05:00:00,12.0,0.0,19.369,0.0,12.407,1.0,1,12.0,0,12.32119464849228,11.597690066666669,-84.07685868973813,0.0,105.22211779350395,0.0,0.0,10.946005000000042
2022-11-02 05:15:00,12.0,0.0,19.353,0.0,12.407,1.0,1,12.0,0,12.24246773982213,11.597690066666669,-81.25111860014471,0.0,102.86568544626472,0.0,0.0,10.85979250000004
2022-11-02 05:30:00,12.0,0.0,19.335,0.0,12.591,1.0,1,12.0,0,12.163879823467663,11.597690066666669,-78.4362739222643,0.0,100.52706034292274,0.0,0.0,10.773580000000038
2022-11-02 05:45:00,12.0,0.0,19.335,0.0,12.409,1.0,1,12.0,0,12.090079927713155,11.597690066666669,-75.62272475130236,0.0,98.21185939665344,1.04,0.2666666666666666,10.69246500000004
2022-11-02 06:00:00,12.0,0.0,19.335,0.0,12.227,1.0,1,12.0,0,12.017532329001652,11.597690066666669,-72.80137398634461,0.0,95.92571203289926,2.08,0.5333333333333333,10.611350000000044
2022-11-02 06:15:00,12.0,0.0,19.335,0.0,12.103,1.0,1,12.0,0,11.944757998701215,11.597690066666669,-69.96357769376442,0.0,93.67431417215586,3.12,0.8,10.530235000000047
2022-11-02 06:30:00,12.0,0.0,19.301,0.0,11.979,1.0,1,12.0,0,11.873677733585462,11.597690066666669,-67.10111225307078,0.0,91.46347617170336,4.16,1.0666666666666669,10.44912000000005
2022-11-02 06:45:00,12.0,0.0,19.302,0.0,12.103,1.0,1,12.0,0,11.893898520412632,11.597690066666669,-64.20615958027108,0.7008352961642288,89.29916470383577,21.2,8.302222222222223,10.51418500000004
2022-11-02 07:00:00,12.0,0.0,19.301,0.0,11.859,1.0,1,12.0,0,11.917392263894422,11.597690066666669,-61.27131176883564,2.812461809350893,87.18753819064911,38.24,15.537777777777778,10.57925000000003
2022-11-02 07:15:00,12.0,0.0,19.3,0.0,11.979,1.0,1,12.0,0,11.944536801779604,11.597690066666669,-58.28959651116357,4.8650249600342335,85.13497503996577,55.28,22.773333333333333,10.64431500000002
2022-11-02 07:30:00,12.0,0.0,19.301,0.0,12.287,1.0,1,12.0,0,11.976708111928716,11.597690066666669,-55.25452457366422,6.851906460857933,83.14809353914207,72.32,30.00888888888889,10.70938000000001
2022-11-02 07:45:00,12.0,0.0,19.302,0.0,15.576,1.0,1,12.0,0,12.122800442589064,11.597690066666669,-52.16016030590163,8.766238119480846,81.23376188051915,103.29333333333332,56.76,10.92092750000002
2022-11-02 08:00:00,12.0,0.0,19.335,0.0,14.359,1.0,1,12.0,0,12.271962855005668,11.597690066666669,-49.00121556741324,10.600903561736304,79.3990964382637,134.26666666666665,83.5111111111111,11.132475000000028
2022-11-02 08:15:00,12.0,0.0,19.403,0.0,15.946,1.0,1,12.0,0,12.430423288043889,11.597690066666669,-45.77316645732064,12.34855386775368,77.65144613224632,165.24,110.26222222222222,11.344022500000037
